,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Property,,Fee,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,," £225,980 ",,,,,,,,,,,,,,,,,,,,,,,,,
,billed,," £110,904 ",,,,,,,,,,,,,,,,,,,,,,,,,
,U/O ,," £115,076 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2027/2028,," £18,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROFESSIONAL & MI BILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 8 High Street - HiTW
AML done - 1 x PEP messaged S GIlls (chased March)","18.06 Dt chased for an update  BILLED 19/06 (prev added Mar 2025 but removed and raised anew)

11.06 DT chased 

5.06 Dt asked Sharon Jenner if we have signed 

26.05 Dt asked Sharon and Dal for an update 

15.05 anyday

11.05 St chased Sharon Jenner

27.04 DT chased Ed

13.04 DT chassed Dal

 7.04 DT to chased 

25.03 dt chased dal   - draft invoice printed for DT review 
 
23.03 legals progressing 

6.03 Progressing 

12.03 legals progressing

17.02 Ed sent Sarah an updzate 16.02 DT asked Ed for an update 

09.02 legals progressubg 20.02 DT sent a chaser to Sarah

27.01 DT asked emm if he needs to send out the HOTS 12.01 Ed to confirm to DT if he needs to do anything

5.01 DT asked hwo ware to proceed

10.12 with Ed to confirm Heads of Terms

3.12 AM to draft HOTS

25.11 progressing; emailed Sharon Gills for update 

10.11 DT chased Sharon

28.10 DT chased Sharon

21.10 -  Dt has rrecommend we accpet £22k

DT has emailed E Cloke commenting that he has advised tenant to accept 22k"," £1,540 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2 Lyons Valuation ,AM to invoice BILLED 9th JUNE , £750 ,,,,,,,,,,,,,,,,,,,,,,,,,
,"Riverbank House
AML DONE ","29.06 Invocie sent 

18.06 docs will be issued today for signing INVOICE DRAFT PASSED TO DT 26th

11.06 on the 9.06 Julie snet draft underlease to Wendy Davison 

27.05 sols isntructed 

26.05 Robin sent revised Heads of Terms

15.05 Robin has given the extension 

11.05 JOB to send details to 

8.05 JOB to draft details 

27.04 Dt asked Wendy for an update.  JOB to prepared details 

20.04 speak to Robin at the end of the week.

14.04 DT to chase next week 

7.04 DT asked Wendy if she has sign off

31.03 DT 

23.03 DT sent revised HOTS to Robin

17.03 CHase next week but DT to market

23.02 DT left message

17.02 DT asked Wendy to confirm if terms are ok

11.02 Dt issues draft Heads of Terms on 9.02. Dt to cahse end of week

02.02 Wendy has agreed rental

27.01 DT chased Wedny

21.01 DT send to Wendy that we will agree £51k

19.01 Wnedy top confirm lkease term"," £1,750 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Staplehurst,"16.07 invoice and report senr 

6.07 try and finish 

29.06 start valuation

18.06 arrange inspection"," £1,250 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Rock Road Borough Green,"29.07 sent with invoice 

24.07 JOB to draft 

16.07 DT to inspect next weke."," £1,250 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Bon Marche ,"29.07 JOB sent draft to DT   - invoice drafted 

24.07 JOB to use to draft ", £495 ,,,,,,,,,,,,,,,,,,,,,,,,,
